ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"[0, 0.03]",TF,test_acc,0.5771078101895416,0.5755813953488372,0.02448545281484527,0.5709656371824169,0.5834672334991262,0.5736450442443816,0.5805705761347016
"[0, 0.03]",TF,test_acc_95spe,0.4831408096032704,0.475,0.012567684764807062,0.4797296907152251,0.4866880738723855,0.4813634705790684,0.48491814862747235
"[0, 0.03]",TF,test_acc_98spe,0.49,0.49,0,0.49,0.49,0.49,0.49
"[0, 0.03]",TF,test_acc_99spe,0.495,0.495,0,0.495,0.495,0.495,0.495
"[0, 0.03]",TF,test_auprc,0.6802116278676729,0.6793484240646471,0.02389637391559101,0.6731382293303044,0.6863495438276576,0.6768321702593761,0.6835910854759696
"[0, 0.03]",TF,test_auroc,0.6028937670618872,0.601247890477117,0.028177191283039967,0.5949877675314804,0.6106101985105398,0.5989089104556816,0.6068786236680929
"[0, 0.03]",TF,test_f1,0.631386059184135,0.6336633663366337,0.0264119172615268,0.6244722187069738,0.6383499912176908,0.6276508500241823,0.6351212683440878
"[0, 0.03]",TF,test_f1_95spe,0.05674583373319756,0,0.0696873347955324,0.03826941849991405,0.07833748764542334,0.04689055633384992,0.0666011111325452
"[0, 0.03]",TF,test_f1_98spe,0,0,0,0,0,0,0
"[0, 0.03]",TF,test_f1_99spe,0,0,0,0,0,0,0
"[0, 0.03]",TF,test_ppv,0.6899610094276452,0.6878360215053764,0.026492209075811887,0.6826447861778286,0.6976704641411016,0.6862144452904215,0.6937075735648688
"[0, 0.03]",TF,test_sen_95spe,0.057661058419977936,0.05479566305254378,0.025088398163935485,0.05127743538570689,0.0646802101303734,0.05411302312581255,0.06120909371414332
"[0, 0.03]",TF,test_sen_98spe,0.022038505622023242,0,0.027113200422642748,0.014357029201129839,0.03025974500417635,0.018204120046319112,0.02587289119772737
"[0, 0.03]",TF,test_sen_99spe,0.004458385333803321,0,0.013164581187313786,0.001116303219106957,0.00855539598159421,0.0025966324079972356,0.006320138259609407
"[0, 0.03]",TF,test_sensitivity,0.5828500467155523,0.5841194968553459,0.034602606110324355,0.5744867707774062,0.592487671426348,0.5779564992300849,0.5877435942010197
"[0, 0.03]",TF,test_specificity,0.5680170647834469,0.5692963752665245,0.041692934233696514,0.5555879250913218,0.5796722043784479,0.5621207934786047,0.5739133360882892
"(0.03, 0.1]",TF,test_acc,0.9064977674238012,0.9108910891089108,0.020667116128098087,0.9011686080372744,0.9119653465346534,0.9035749958314516,0.9094205390161507
"(0.03, 0.1]",TF,test_acc_95spe,0.8572402402183149,0.8690736284050732,0.059087766992739196,0.8409862864155088,0.8740674541438981,0.8488839680731676,0.8655965123634622
"(0.03, 0.1]",TF,test_acc_98spe,0.7832075101129201,0.7897258064516129,0.07533185792740459,0.7616184808038363,0.8023504924471951,0.7725539765969502,0.79386104362889
"(0.03, 0.1]",TF,test_acc_99spe,0.7750056123577795,0.7891176470588235,0.09440574218218309,0.7454757893783435,0.801318966255286,0.7616546242617854,0.7883566004537736
"(0.03, 0.1]",TF,test_auprc,0.9681018400316364,0.968968761988815,0.014359025681753644,0.9643399132556391,0.9720678394628798,0.9660711671454764,0.9701325129177963
