ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"[0, 0.03]",cnv,test_acc,0.6858558303184743,0.686046511627907,0.030085166531666988,0.6773123761667358,0.6941581931594358,0.6814200145137995,0.6902916461231491
"[0, 0.03]",cnv,test_acc_95spe,0.5605220769899948,0.5660016641330726,0.034910181465364995,0.5498854398413511,0.5702396143322259,0.555374851545019,0.5656693024349706
"[0, 0.03]",cnv,test_acc_98spe,0.5305913129112265,0.5206408544726302,0.0339353227125677,0.5221465283210978,0.5405595882768448,0.5255878225477378,0.5355948032747152
"[0, 0.03]",cnv,test_acc_99spe,0.5355913129112265,0.5256408544726301,0.0339353227125677,0.5263173610722082,0.545888959091934,0.5305878225477378,0.5405948032747152
"[0, 0.03]",cnv,test_auprc,0.8138611411894159,0.8102861776170492,0.02471916294301332,0.8067862907569417,0.8210134805309564,0.8102164994505864,0.8175057829282454
"[0, 0.03]",cnv,test_auroc,0.7359477282757515,0.733085460100647,0.02839013984846737,0.7276332524599324,0.7436211884871567,0.7317618305209824,0.7401336260305206
"[0, 0.03]",cnv,test_f1,0.7440754829979604,0.7465006061942026,0.02905391422436416,0.7355829704804739,0.7524079876044601,0.7397917170507636,0.7483592489451573
"[0, 0.03]",cnv,test_f1_95spe,0.3249692344280098,0.34319131161236427,0.09684600404616225,0.2966635101919144,0.3540136907827603,0.3106900701456585,0.33924839871036105
"[0, 0.03]",cnv,test_f1_98spe,0.14349666372575326,0.11545756282598388,0.10899228111516583,0.11331301660290248,0.17738021716589525,0.12742662859234877,0.15956669885915775
"[0, 0.03]",cnv,test_f1_99spe,0.14349666372575326,0.11545756282598388,0.10899228111516583,0.1128339589660963,0.17575698795530745,0.12742662859234877,0.15956669885915775
"[0, 0.03]",cnv,test_ppv,0.7543351058530701,0.7487864077669903,0.02491395773380349,0.7477871750639952,0.7617793031104365,0.7506617431892376,0.7580084685169025
"[0, 0.03]",cnv,test_sen_95spe,0.2018874920454839,0.21105328158080452,0.07102466873854697,0.18214385890976845,0.22289202846957026,0.19141547595141897,0.21235950813954882
"[0, 0.03]",cnv,test_sen_98spe,0.08118262582245311,0.061281708945260346,0.0678706454251354,0.06228034541008057,0.10220950307848954,0.07117564509547573,0.0911896065494305
"[0, 0.03]",cnv,test_sen_99spe,0.08118262582245311,0.061281708945260346,0.0678706454251354,0.06268099814942207,0.10222106359273617,0.07117564509547573,0.0911896065494305
"[0, 0.03]",cnv,test_sensitivity,0.7356902674923704,0.7452830188679245,0.04693198284304157,0.7225456478836707,0.7489670274869487,0.7287705241357643,0.7426100108489766
"[0, 0.03]",cnv,test_specificity,0.6040264155297315,0.6,0.050486490535734486,0.5898993957406886,0.6178889651198118,0.5965825886057471,0.6114702424537158
