ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"[0, 0.03]",TF,AUROC,0.6028937670618872,0.601247890477117,0.028177191283039967,0.5953571381645312,0.6107877277301893,0.5989089104556816,0.6068786236680929
"[0, 0.03]",TF,AUPRC,0.6802116278676729,0.6793484240646471,0.02389637391559101,0.6736348939499756,0.6864875513909844,0.6768321702593761,0.6835910854759696
"[0, 0.03]",TF,Sensitivity,0.5828500467155523,0.5841194968553459,0.034602606110324355,0.5737523899461185,0.5925011065821887,0.5779564992300849,0.5877435942010197
"[0, 0.03]",TF,Specificity,0.5680170647834469,0.5692963752665245,0.041692934233696514,0.5564883197372511,0.5785566213014072,0.5621207934786047,0.5739133360882892
"[0, 0.03]",TF,F1,0.631386059184135,0.6336633663366337,0.0264119172615268,0.6241653554834478,0.638546232516526,0.6276508500241823,0.6351212683440878
"[0, 0.03]",TF,Accuracy,0.5771078101895416,0.5755813953488372,0.02448545281484527,0.5699923376797957,0.5838768651700498,0.5736450442443816,0.5805705761347016
"(0.03, 0.1]",TF,AUROC,0.9832639048896198,0.9841022161917685,0.007694496236884947,0.9811759050413311,0.9854065566889618,0.9821757387962367,0.9843520709830029
"(0.03, 0.1]",TF,AUPRC,0.9681018400316364,0.968968761988815,0.014359025681753644,0.9642168686528616,0.9715495441204491,0.9660711671454764,0.9701325129177963
"(0.03, 0.1]",TF,Sensitivity,0.8079443284587722,0.8157894736842105,0.04744223855315947,0.7961330714343224,0.8209064877579864,0.8012349827396504,0.8146536741778939
"(0.03, 0.1]",TF,Specificity,0.9611884654215241,0.9612184976755567,0.020099490934677704,0.9556432173560478,0.9663063857275025,0.9583459681538625,0.9640309626891858
"(0.03, 0.1]",TF,F1,0.8600659403710458,0.8648648648648649,0.03305929407763681,0.8508973902842251,0.868142269655153,0.8553906501663383,0.8647412305757533
"(0.03, 0.1]",TF,Accuracy,0.9064977674238012,0.9108910891089108,0.020667116128098087,0.9009661230828966,0.9121247815958066,0.9035749958314516,0.9094205390161507
"(0.1, 1]",TF,AUROC,1,1,0,1,1,1,1
"(0.1, 1]",TF,AUPRC,1,1,1.0520552017986136e-16,1,1,1,1
"(0.1, 1]",TF,Sensitivity,1,1,0,1,1,1,1
"(0.1, 1]",TF,Specificity,1,1,0,1,1,1,1
"(0.1, 1]",TF,F1,1,1,0,1,1,1,1
"(0.1, 1]",TF,Accuracy,1,1,0,1,1,1,1
all,TF,AUROC,0.6421717237440254,0.6380494254135558,0.02692243047457053,0.6356612827176625,0.6493685840923893,0.638364317113107,0.6459791303749438
all,TF,AUPRC,0.8660942292827587,0.8655063083626966,0.012326197436162093,0.8625519525532723,0.8693142500158314,0.8643510417240878,0.8678374168414296
all,TF,Sensitivity,0.3885467805438804,0.3873592367841077,0.02602596778051461,0.38180302614539835,0.39554876335103073,0.38486615288297155,0.3922274082047893
all,TF,Specificity,0.9493561760919708,0.953125,0.026561751888020135,0.9419128429573286,0.9564980663037776,0.945599777115928,0.9531125750680135
all,TF,F1,0.5520262108284798,0.552126660405206,0.026560144056732377,0.5451899533643424,0.5595643709987924,0.5482700392341184,0.5557823824228412
all,TF,Accuracy,0.5360393206433752,0.5362903225806451,0.01805348856377639,0.5314014671432874,0.5412599201886271,0.5334861718058712,0.5385924694808792
