ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"[0, 0.03]",All,AUROC,0.873889185125346,0.872464023265064,0.0187916531479415,0.8686804046200649,0.879097965630627,0.871231644051223,0.8765467261994689
"[0, 0.03]",All,AUPRC,0.9178024913883368,0.9181608408492246,0.01565401923815547,0.913463418631136,0.9221415641455376,0.9155886787571119,0.9200163040195617
"[0, 0.03]",All,Sensitivity,0.8387166000114421,0.8403720684182684,0.02645642109414364,0.8313832542248966,0.8460499457979876,0.834975097059123,0.8424581029637612
"[0, 0.03]",All,Specificity,0.761804267475696,0.7557109557109557,0.04722799797462342,0.7487133343248454,0.7748952006265465,0.7551252199497518,0.7684833150016401
"[0, 0.03]",All,F1,0.8456862600715674,0.8463327370304115,0.020668722197500204,0.8399571825708366,0.8514153375722983,0.8427632613467048,0.8486092587964301
"[0, 0.03]",All,Accuracy,0.8095227853206076,0.811046511627907,0.025496520746880996,0.8024555103356287,0.8165900603055866,0.805917032777251,0.8131285378639642
"[0, 0.03]",Length,AUROC,0.8631272662078499,0.8691674376589855,0.019408607037110934,0.857747474809314,0.8685070576063857,0.8603824746779847,0.865872057737715
"[0, 0.03]",Length,AUPRC,0.9030184605129509,0.9039458376278413,0.019854175705298807,0.8975151637807252,0.9085217572451766,0.9002106560577336,0.9058262649681681
"[0, 0.03]",Length,Sensitivity,0.8116334383389275,0.8148148148148148,0.03537988682278911,0.8018266340460449,0.8214402426318101,0.8066299667609262,0.8166369099169288
"[0, 0.03]",Length,Specificity,0.768102922998027,0.7751564756860857,0.03929957756382691,0.7572096358631126,0.7789962101329413,0.7625451234393972,0.7736607225566567
"[0, 0.03]",Length,F1,0.831154090852361,0.8368879946344735,0.02297502095962073,0.8247857399499283,0.8375224417547937,0.8279049322286709,0.8344032494760512
"[0, 0.03]",Length,Accuracy,0.7951290496034413,0.8000067213335126,0.025378651465461345,0.788094446316391,0.8021636528904916,0.7915399662937218,0.7987181329131608
"[0, 0.03]",SD,AUROC,0.8522333544042955,0.8550588598975695,0.019154948948539554,0.846923873440736,0.8575428353678549,0.8495244355453366,0.8549422732632543
"[0, 0.03]",SD,AUPRC,0.9045991086343333,0.9037544091451661,0.015035782807231786,0.9004314022728243,0.9087668149958424,0.902472727837645,0.9067254894310217
"[0, 0.03]",SD,Sensitivity,0.8115333733463852,0.8177447552447552,0.038832478157353245,0.8007695595613308,0.8222971871314396,0.8060416316193166,0.8170251150734538
"[0, 0.03]",SD,Specificity,0.7299913411035265,0.7348345588235294,0.04128544386442192,0.7185475999137614,0.7414350822932916,0.7241526976393606,0.7358299845676923
"[0, 0.03]",SD,F1,0.821272004408268,0.8221060423799389,0.022068035386882207,0.8151550570802125,0.8273889517363234,0.8181511129143622,0.8243928959021738
"[0, 0.03]",SD,Accuracy,0.7806049200161312,0.7790697674418605,0.02436580355751732,0.7738510638456959,0.7873587761865666,0.7771590750312153,0.7840507650010472
"[0, 0.03]",CNV,AUROC,0.7308791199974176,0.7312234394545979,0.03149950562251752,0.7221479024977729,0.7396103374970623,0.7264244171914764,0.7353338228033588
"[0, 0.03]",CNV,AUPRC,0.8080877798991677,0.8016001046265532,0.027663065581054937,0.800419969324945,0.8157555904733904,0.8041756316470132,0.8119999281513222
"[0, 0.03]",CNV,Sensitivity,0.7287040022752399,0.730226722049152,0.03326987437342951,0.7194820635939987,0.7379259409564811,0.7239989315195046,0.7334090730309752
"[0, 0.03]",CNV,Specificity,0.6003558845747848,0.607717803030303,0.05594763784659054,0.584847990562609,0.6158637785869606,0.5924436937522461,0.6082680753973235
"[0, 0.03]",CNV,F1,0.7392138437604752,0.7417840375586855,0.02501791721567393,0.7322792309060434,0.7461484566149069,0.7356757759776018,0.7427519115433485
"[0, 0.03]",CNV,Accuracy,0.680272214007259,0.6802325581395349,0.02897399833447506,0.6722410314127042,0.6883033966018138,0.67617467186718,0.684369756147338
