model_name,ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
resnet18,"[0, 0.03]",C1,AUROC,0.861838823130204,0.8663319941322452,0.02564346860879018,0.8543289518510813,0.8680028878537789,0.8582122890209201,0.8654653572394879
resnet18,"[0, 0.03]",C1,AUPRC,0.9094240650209638,0.9122311926488119,0.02114200579104861,0.9036934510064846,0.9149827420312704,0.9064341338884166,0.912413996153511
resnet18,"[0, 0.03]",C1,Sensitivity,0.8644720102752924,0.8571298984034833,0.046711533263678905,0.8516334492322649,0.8778392768082942,0.8578660018892188,0.871078018661366
resnet18,"[0, 0.03]",C1,Specificity,0.6569504933738256,0.6899038461538461,0.12900518533114122,0.6193907192301532,0.6883746745129484,0.6387064051026502,0.675194581645001
resnet18,"[0, 0.03]",C1,F1,0.8344844223022168,0.8394541778975741,0.019641331980465387,0.8290100367988935,0.8395851990509835,0.8317067184952321,0.8372621261092014
resnet18,"[0, 0.03]",C1,Accuracy,0.7860599542949321,0.7913025944347358,0.033976296471586835,0.7759688634225029,0.7938228424519423,0.7812549803679995,0.7908649282218648
resnet18,"[0, 0.03]",C1,Sensitivity at 99% Specificity,0.21061361962431585,0.2119860686374448,0.1365945172212788,0.1764622075157959,0.24619651953170454,0.19129623774430207,0.22993100150432963
resnet18,"[0, 0.03]",C1,Sensitivity at 95% Specificity,0.424443538046163,0.43193440310350906,0.11193282021126598,0.3943530592117128,0.4551052461455422,0.40861384680441887,0.4402732292879072
resnet18,"[0, 0.03]",C1,Accuracy at 99% Specificity,0.6003068098121579,0.6009930343187224,0.06829725861063939,0.5828461485231872,0.6182887626186462,0.590648118872151,0.6099655007521648
resnet18,"[0, 0.03]",C1,Accuracy at 95% Specificity,0.6720354528379273,0.6764625395470925,0.05604909976233293,0.657261637094066,0.6863692363666979,0.6641089131336579,0.6799619925421967
resnet18,"[0, 0.03]",C1,F1 at 99% Specificity,0.3267582895061805,0.34981494332639373,0.19273630884366003,0.2744206918496302,0.37748422818491206,0.29950125931333715,0.3540153196990239
resnet18,"[0, 0.03]",C1,F1 at 95% Specificity,0.5793231910014089,0.5954754922496858,0.11393090562259753,0.5469426482832507,0.608946386885249,0.5632109278109163,0.5954354541919016
resnet18,"[0, 0.03]",C2,AUROC,0.898219726812473,0.8993614742858694,0.023020923582751995,0.8919267874102368,0.9045139213589295,0.8949640765775647,0.9014753770473812
resnet18,"[0, 0.03]",C2,AUPRC,0.9349651211646859,0.9391064995760208,0.01982033920649071,0.9293375711647986,0.9401448259680854,0.9321621019130204,0.9377681404163514
resnet18,"[0, 0.03]",C2,Sensitivity,0.8650561745143102,0.8679245283018868,0.037452238797378676,0.8547091835472889,0.8753013361490027,0.8597596281094613,0.870352720919159
resnet18,"[0, 0.03]",C2,Specificity,0.7603626559899093,0.765625,0.07912455561005928,0.736179120741806,0.7796866231316504,0.7491727540238603,0.7715525579559582
resnet18,"[0, 0.03]",C2,F1,0.860446964286255,0.8651162790697674,0.02101506171041844,0.8548690188020096,0.8659863216776462,0.8574749857577568,0.8634189428147532
resnet18,"[0, 0.03]",C2,Accuracy,0.8253199354751983,0.8284883720930233,0.02729588402709353,0.8176338385535691,0.8328508368060222,0.8214597145363904,0.8291801564140062
resnet18,"[0, 0.03]",C2,Sensitivity at 99% Specificity,0.29440503321096195,0.3116130148840429,0.17954722605883353,0.2459173002185997,0.3419851335094866,0.2690132209930749,0.319796845428849
resnet18,"[0, 0.03]",C2,Sensitivity at 95% Specificity,0.5134305613638013,0.5185185185185186,0.13884877070636284,0.47589255421743865,0.5527472260801283,0.49379437989862424,0.5330667428289784
resnet18,"[0, 0.03]",C2,Accuracy at 99% Specificity,0.6421090586615558,0.6508065074420215,0.0897834973964419,0.6168981510283971,0.6668072234361749,0.629411754692022,0.6548063626310895
resnet18,"[0, 0.03]",C2,Accuracy at 95% Specificity,0.7172488692680737,0.7195296919515669,0.0684438078724325,0.6971699708943938,0.7355522305607427,0.7075694531327085,0.726928285403439
resnet18,"[0, 0.03]",C2,F1 at 99% Specificity,0.4240375872027456,0.4751509054325955,0.2273097844287289,0.35688146126193193,0.4867328905796934,0.3918911292028243,0.45618404520266687
resnet18,"[0, 0.03]",C2,F1 at 95% Specificity,0.659033923092771,0.6746506986027945,0.12658117742089944,0.6222978744318557,0.6908322665001979,0.6411326413077919,0.67693520487775
resnet18,"[0, 0.03]",C3,AUROC,0.8958598230114004,0.893314162473041,0.027509179069853392,0.8882530207455828,0.9034062036110984,0.8919694375983668,0.8997502084244341
resnet18,"[0, 0.03]",C3,AUPRC,0.9323034924198378,0.9327125435534854,0.021645637785730053,0.92622037941629,0.9378152995538946,0.9292423369675583,0.9353646478721173
resnet18,"[0, 0.03]",C3,Sensitivity,0.8681076125513869,0.8691588785046729,0.036590261933953906,0.858355538591388,0.878103743905089,0.8629329680836088,0.8732822570191651
