ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"[0, 0.03]",All,AUROC,0.8778756623745005,0.8794008729274099,0.022482767988304543,0.8710885183571015,0.8840270330994308,0.8746961188336257,0.8810552059153753
"[0, 0.03]",All,AUPRC,0.9215398822765114,0.9202470968647594,0.018273118162590148,0.9169372086711381,0.9265557126650317,0.9189556731232733,0.9241240914297495
"[0, 0.03]",All,Sensitivity,0.8407243273873684,0.8411214953271028,0.02897798027298286,0.8322425837407277,0.8488806212937092,0.8366262221161451,0.8448224326585916
"[0, 0.03]",All,Specificity,0.7542331503016668,0.7575757575757576,0.038710632008669116,0.7424583476883474,0.7646564135771211,0.7487586402221974,0.7597076603811362
"[0, 0.03]",All,F1,0.8448637777919269,0.843369575318279,0.018425763859043695,0.8395398470603461,0.850016168231015,0.8422579812772726,0.8474695743065812
"[0, 0.03]",All,Accuracy,0.8080057803468208,0.8081395348837209,0.021871585788950036,0.8022401196397365,0.8140430333378142,0.8049126710214868,0.8110988896721548
"[0, 0.03]",Length,AUROC,0.8730234492482362,0.8748662348634187,0.023499921112105436,0.8666443674514259,0.8794151326562029,0.8697000585330924,0.8763468399633799
"[0, 0.03]",Length,AUPRC,0.9068692930866751,0.9056374742471949,0.02425492915148316,0.8999255727480592,0.9137718669881211,0.9034391281106324,0.9102994580627177
"[0, 0.03]",Length,Sensitivity,0.8239483684884327,0.8293800539083558,0.030754913826896057,0.8161037473930663,0.8319073944307965,0.8195989668640714,0.8282977701127939
"[0, 0.03]",Length,Specificity,0.7649424772701345,0.7761194029850746,0.046609046062017705,0.7519485814467457,0.7783934309220374,0.7583509627631168,0.7715339917771523
"[0, 0.03]",Length,F1,0.8378415457332089,0.8391661594643944,0.022119780440200926,0.8314110300162808,0.8439537310806078,0.8347133363836842,0.8409697550827336
"[0, 0.03]",Length,Accuracy,0.8016312676435005,0.8023255813953488,0.02626775222984142,0.7943968779405836,0.8087873874176635,0.7979164464978507,0.8053460887891503
"[0, 0.03]",SD,AUROC,0.8570385024463731,0.8579583078241552,0.023976029438910307,0.850185456690006,0.8637742869819138,0.8536477798459368,0.8604292250468095
"[0, 0.03]",SD,AUPRC,0.9065294200165679,0.9123895070951382,0.020215843985651717,0.9006936473085194,0.9121696123643194,0.9036704679426352,0.9093883720905006
"[0, 0.03]",SD,Sensitivity,0.8180000178017849,0.817347789824854,0.02824867706002038,0.8104120572180493,0.8254961277331345,0.814005051580047,0.8219949840235228
