output_col,source_col,method,null_filling_value,type,type_for_norm
n_isize,frag_len_seen,sum,0,length,length
n_pos_nm,pos_nm,sum,0,mismatch,mismatch
n_neg_nm,neg_nm,sum,0,mismatch,mismatch
n_motif_s1_A,motif_s1,motif_filter_nrow,0,motif,motif_s1
n_motif_s1_T,motif_s1,motif_filter_nrow,0,motif,motif_s1
n_motif_s1_C,motif_s1,motif_filter_nrow,0,motif,motif_s1
n_motif_s1_G,motif_s1,motif_filter_nrow,0,motif,motif_s1
n_motif_s4_CCCA,motif_s4,motif_filter_nrow,0,motif,motif_s4
bin_mean_GC,gc,mean,NA,bin_status,bin_status_GC
bin_mean_mappability,mappability,mean,NA,bin_status,bin_status_mappability
n_motif_umono1_A,motif_umono1,motif_filter_nrow,0,motif,motif_umono1
n_motif_umono1_T,motif_umono1,motif_filter_nrow,0,motif,motif_umono1
n_motif_umono1_C,motif_umono1,motif_filter_nrow,0,motif,motif_umono1
n_motif_umono1_G,motif_umono1,motif_filter_nrow,0,motif,motif_umono1
n_motif_umono2_A,motif_umono2,motif_filter_nrow,0,motif,motif_umono2
n_motif_umono2_T,motif_umono2,motif_filter_nrow,0,motif,motif_umono2
n_motif_umono2_C,motif_umono2,motif_filter_nrow,0,motif,motif_umono2
n_motif_umono2_G,motif_umono2,motif_filter_nrow,0,motif,motif_umono2
n_motif_umono3_A,motif_umono3,motif_filter_nrow,0,motif,motif_umono3
n_motif_umono3_T,motif_umono3,motif_filter_nrow,0,motif,motif_umono3
n_motif_umono3_C,motif_umono3,motif_filter_nrow,0,motif,motif_umono3
n_motif_umono3_G,motif_umono3,motif_filter_nrow,0,motif,motif_umono3
n_motif_smono1_A,motif_smono1,motif_filter_nrow,0,motif,motif_smono1
n_motif_smono1_T,motif_smono1,motif_filter_nrow,0,motif,motif_smono1
n_motif_smono1_C,motif_smono1,motif_filter_nrow,0,motif,motif_smono1
n_motif_smono1_G,motif_smono1,motif_filter_nrow,0,motif,motif_smono1
n_motif_smono2_A,motif_smono2,motif_filter_nrow,0,motif,motif_smono2
n_motif_smono2_T,motif_smono2,motif_filter_nrow,0,motif,motif_smono2
n_motif_smono2_C,motif_smono2,motif_filter_nrow,0,motif,motif_smono2
n_motif_smono2_G,motif_smono2,motif_filter_nrow,0,motif,motif_smono2
n_motif_smono3_A,motif_smono3,motif_filter_nrow,0,motif,motif_smono3
n_motif_smono3_T,motif_smono3,motif_filter_nrow,0,motif,motif_smono3
n_motif_smono3_C,motif_smono3,motif_filter_nrow,0,motif,motif_smono3
n_motif_smono3_G,motif_smono3,motif_filter_nrow,0,motif,motif_smono3
n_motif_emono1_A,motif_emono1,motif_filter_nrow,0,motif,motif_emono1
n_motif_emono1_T,motif_emono1,motif_filter_nrow,0,motif,motif_emono1
n_motif_emono1_C,motif_emono1,motif_filter_nrow,0,motif,motif_emono1
n_motif_emono1_G,motif_emono1,motif_filter_nrow,0,motif,motif_emono1
n_motif_emono2_A,motif_emono2,motif_filter_nrow,0,motif,motif_emono2
n_motif_emono2_T,motif_emono2,motif_filter_nrow,0,motif,motif_emono2
n_motif_emono2_C,motif_emono2,motif_filter_nrow,0,motif,motif_emono2
n_motif_emono2_G,motif_emono2,motif_filter_nrow,0,motif,motif_emono2
n_motif_emono3_A,motif_emono3,motif_filter_nrow,0,motif,motif_emono3
n_motif_emono3_T,motif_emono3,motif_filter_nrow,0,motif,motif_emono3
n_motif_emono3_C,motif_emono3,motif_filter_nrow,0,motif,motif_emono3
n_motif_emono3_G,motif_emono3,motif_filter_nrow,0,motif,motif_emono3
n_motif_dmono1_A,motif_dmono1,motif_filter_nrow,0,motif,motif_dmono1
n_motif_dmono1_T,motif_dmono1,motif_filter_nrow,0,motif,motif_dmono1
n_motif_dmono1_C,motif_dmono1,motif_filter_nrow,0,motif,motif_dmono1
n_motif_dmono1_G,motif_dmono1,motif_filter_nrow,0,motif,motif_dmono1
n_motif_dmono2_A,motif_dmono2,motif_filter_nrow,0,motif,motif_dmono2
n_motif_dmono2_T,motif_dmono2,motif_filter_nrow,0,motif,motif_dmono2
n_motif_dmono2_C,motif_dmono2,motif_filter_nrow,0,motif,motif_dmono2
n_motif_dmono2_G,motif_dmono2,motif_filter_nrow,0,motif,motif_dmono2
n_motif_dmono3_A,motif_dmono3,motif_filter_nrow,0,motif,motif_dmono3
n_motif_dmono3_T,motif_dmono3,motif_filter_nrow,0,motif,motif_dmono3
n_motif_dmono3_C,motif_dmono3,motif_filter_nrow,0,motif,motif_dmono3
n_motif_dmono3_G,motif_dmono3,motif_filter_nrow,0,motif,motif_dmono3
