"Read1","Read2","UmiRead","SampleName","ReadGroup","Library","SourceMaterial","PlatformUnit","SequencingPlatform","PlatformModel","SequencingCentre","SequencingDate","SLXId","Barcode","Flowcell","Lane","EndType","ReadLength","Index Type"
"PGDX10094P_WGS_novo_processed.namesort.r1.fastq.gz","PGDX10094P_WGS_novo_processed.namesort.r2.fastq.gz",,"PGDX10094P",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL001-DL539","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10095P_WGS_novo_processed.namesort.r1.fastq.gz","PGDX10095P_WGS_novo_processed.namesort.r2.fastq.gz",,"PGDX10095P",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL002-DL540","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10344P1_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10344P1_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10344P1",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL003-DL541","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10346P1_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10346P1_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10346P1",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL004-DL542","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10349P1_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10349P1_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10349P1",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL005-DL543","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10351P1_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10351P1_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10351P1",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL006-DL544","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10566P_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10566P_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10566P",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL007-DL545","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10567P_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10567P_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10567P",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL008-DL546","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10568P_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10568P_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10568P",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL009-DL547","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
"PGDX10569P_WGS.sorted_processed.namesort.r1.fastq.gz","PGDX10569P_WGS.sorted_processed.namesort.r2.fastq.gz",,"PGDX10569P",,,,,"ILLUMINA","HiSeq_2000_2500","External","2023-01-01","DL-00001","DL010-DL548","H5WNTBBXX",8,"Paired End",100,"NEBNext DNA Library Prep Kit"
