"Read1","Read2","UmiRead","SampleName","ReadGroup","Library","SourceMaterial","PlatformUnit","SequencingPlatform","PlatformModel","SequencingCentre","SequencingDate","SLXId","Barcode","Flowcell","Lane","EndType","ReadLength","Index Type"
"AdSarc_1_1.R1.fastq.gz","AdSarc_1_1.R2.fastq.gz",,"AdSarc_1_1",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL001-DL500","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"AdSarc_1_2.R1.fastq.gz","AdSarc_1_2.R2.fastq.gz",,"AdSarc_1_2",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL002-DL501","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_1.R1.fastq.gz","Ctrl_1.R2.fastq.gz",,"Ctrl_1",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL003-DL502","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_10.R1.fastq.gz","Ctrl_10.R2.fastq.gz",,"Ctrl_10",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL004-DL503","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_11.R1.fastq.gz","Ctrl_11.R2.fastq.gz",,"Ctrl_11",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL005-DL504","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_12.R1.fastq.gz","Ctrl_12.R2.fastq.gz",,"Ctrl_12",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL006-DL505","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_13.R1.fastq.gz","Ctrl_13.R2.fastq.gz",,"Ctrl_13",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL007-DL506","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_14.R1.fastq.gz","Ctrl_14.R2.fastq.gz",,"Ctrl_14",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL008-DL507","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_15.R1.fastq.gz","Ctrl_15.R2.fastq.gz",,"Ctrl_15",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL009-DL508","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_16.R1.fastq.gz","Ctrl_16.R2.fastq.gz",,"Ctrl_16",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL010-DL509","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_17.R1.fastq.gz","Ctrl_17.R2.fastq.gz",,"Ctrl_17",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL011-DL510","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_18.R1.fastq.gz","Ctrl_18.R2.fastq.gz",,"Ctrl_18",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL012-DL511","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_19.R1.fastq.gz","Ctrl_19.R2.fastq.gz",,"Ctrl_19",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL013-DL512","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_2.R1.fastq.gz","Ctrl_2.R2.fastq.gz",,"Ctrl_2",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL014-DL513","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_20.R1.fastq.gz","Ctrl_20.R2.fastq.gz",,"Ctrl_20",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL015-DL514","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_21.R1.fastq.gz","Ctrl_21.R2.fastq.gz",,"Ctrl_21",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL016-DL515","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_22.R1.fastq.gz","Ctrl_22.R2.fastq.gz",,"Ctrl_22",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL017-DL516","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_3.R1.fastq.gz","Ctrl_3.R2.fastq.gz",,"Ctrl_3",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL018-DL517","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_4.R1.fastq.gz","Ctrl_4.R2.fastq.gz",,"Ctrl_4",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL019-DL518","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_5.R1.fastq.gz","Ctrl_5.R2.fastq.gz",,"Ctrl_5",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL020-DL519","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_6.R1.fastq.gz","Ctrl_6.R2.fastq.gz",,"Ctrl_6",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL021-DL520","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_7.R1.fastq.gz","Ctrl_7.R2.fastq.gz",,"Ctrl_7",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL022-DL521","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_8.R1.fastq.gz","Ctrl_8.R2.fastq.gz",,"Ctrl_8",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL023-DL522","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
"Ctrl_9.R1.fastq.gz","Ctrl_9.R2.fastq.gz",,"Ctrl_9",,,,,"ILLUMINA","NovaSeq","CRUK-CI","2022-10-06","DL-00000","DL024-DL523","H5WNTBBXX",8,"Paired End",150,"NEBNext Ultra II"
