file,n_read,n_nucleotide,n_read_mapped,n_nucleotide_mapped,n_read_duplicate,n_nucleotide_duplicate,n_read_mapped_chrM,coverage_by_mapped_reads
SLX-11873.D709-D501.HiSeq4000.bam,57827729,7025516576,57538133,7003175502,14513898,1787265272,7035,2.188492344375
SLX-10575.iPCRtagT003.HiSeq2500.bam,12836406,1344171410,12773551,1339344808,137050,14615198,21184,0.4185452525
SLX-13223.D706-D506.HiSeq4000.bam,50398383,7219496497,50147841,7193676910,7852071,1133915199,181,2.248024034375
SLX-12841.D705-D504.HiSeq4000.bam,30268210,4091432917,30150503,4080739975,5103424,705565008,4242,1.2752312421875
SLX-13900.D706-D502.HiSeq4000.bam,16912567,2173125531,16877273,2169872044,3896432,528557793,53699,0.67808501375
SLX-10575.iPCRtagT006.HiSeq2500.bam,9266401,1029768911,9138685,1019790945,96800,11129630,6370,0.3186846703125
SLX-12759.D704-D506.HiSeq4000.bam,27106265,3547616154,26934901,3532704007,4238109,580955917,7455,1.1039700021875
SLX-12759.D711-D504.HiSeq4000.bam,14639685,2046221507,14481945,2036470421,3197558,450484946,4821,0.6363970065625
SLX-11896.D709-D503.HiSeq4000.bam,34571252,4958353048,34236520,4924822516,1611493,234738556,512,1.53900703625
SLX-11379.D706-D507.HiSeq4000.bam,30633036,4387336990,30347217,4362623809,1675808,243545326,409,1.3633199403125
SLX-11868.D710-D507.HiSeq4000.bam,35925432,5137076256,35687735,5112378658,1317202,190032712,500,1.597618330625
SLX-13900.D711-D501.HiSeq4000.bam,29310631,4274093786,29129068,4258921732,7573797,1115727885,1353,1.33091304125
SLX-10572.D703-D502.HiSeq2500.bam,818400,88975015,808000,88190368,996,112696,1924,0.02755949
SLX-11870.D709-D506.HiSeq4000.bam,35921614,4970983178,35818882,4959881886,7436563,1048852781,1828,1.549963089375
SLX-13900.D710-D501.HiSeq4000.bam,25477156,3725066683,25324226,3711382968,6609754,974324116,1876,1.1598071775
SLX-10575.iPCRtagT036.HiSeq2500.bam,10773449,1182916337,10690168,1176323047,62678,7058901,704,0.3676009521875
SLX-13900.D703-D506.HiSeq4000.bam,32123607,3782615146,31546715,3712847140,6341496,792528017,10749,1.16026473125
SLX-13227.D701-D501.HiSeq2500.bam,17713535,1315515537,17556359,1306029784,184546,13736576,709,0.4081343075
SLX-10572.D703-D501.HiSeq2500.bam,3306563,355117934,3267999,352273912,4694,520665,779,0.1100855975
SLX-10991.iPCRtagT020.HiSeq2500.bam,6965829,806017573,6862139,794988759,31281,3645274,577,0.2484339871875
SLX-10572.D702-D507.HiSeq2500.bam,10603449,1144905346,9368753,1018324676,47649,5299546,16138,0.31822646125
SLX-12841.D702-D504.HiSeq4000.bam,29668788,4293989027,29370962,4257571572,6189559,905131928,626,1.33049111625
SLX-10572.D704-D503.HiSeq2500.bam,3089430,310633591,3057031,308365805,9085,945086,1413,0.0963643140625
SLX-11379.D701-D501.HiSeq4000.bam,17136076,2464057440,17065836,2456672419,843907,122123999,448,0.7677101309375
SLX-12758.D712-D501.HiSeq4000.bam,11834887,1551814228,11653638,1536299677,1654709,223380397,2651,0.4800936490625
SLX-11868.D710-D506.HiSeq4000.bam,15937980,2301932830,15868062,2294404173,504137,73405616,331,0.7170013040625
SLX-11043.D704-D506.HiSeq4000.bam,24353505,3528311107,24247262,3517079419,2112313,308743038,415,1.0990873184375
SLX-12839.D706-D501.HiSeq4000.bam,21348406,3137910426,21265227,3128723577,2849725,420573256,173,0.9777261178125
SLX-12534.D710-D504.HiSeq4000.bam,32902867,4771568579,32706860,4750838855,5358683,783533491,989,1.4846371421875
SLX-12841.D704-D508.HiSeq4000.bam,7083348,1012656867,7008863,1004038107,1188980,172357842,142,0.3137619084375
SLX-13900.D709-D503.HiSeq4000.bam,27790513,4054093486,27595919,4037771323,7155036,1052370350,4530,1.2618035384375
SLX-10991.iPCRtagT021.HiSeq2500.bam,2766302,329575155,2734874,326663649,23499,2829321,858,0.1020823903125
SLX-13900.D708-D508.HiSeq4000.bam,30919482,4521568357,30771373,4507506740,8392293,1237400367,1406,1.40859585625
SLX-12841.D701-D503.HiSeq4000.bam,29796294,4261859688,29683518,4251192454,5112438,741026204,2027,1.328497641875
SLX-13222.D704dna-D505dna.HiSeq4000.bam,30176275,4386621787,30070684,4375455834,5935457,870419679,577,1.367329948125
SLX-11904.D712-D506.HiSeq4000.bam,1330555,173112779,1307373,170108004,140864,18793194,750,0.05315875125
SLX-12841.D701-D501.HiSeq4000.bam,33197191,4792239364,33043014,4779839071,5566441,813037302,502,1.4936997096875
SLX-13900.D709-D506.HiSeq4000.bam,23917860,3489279818,23764049,3475396349,6667191,980346165,1241,1.0860613590625
SLX-12841.D705-D502.HiSeq4000.bam,12458330,1782615191,11952124,1714108413,2508791,366265892,238,0.5356588790625
SLX-13227.D710-D502.HiSeq2500.bam,19770117,1465285273,19645538,1457581543,272712,20280964,1080,0.4554942321875
SLX-11896.D704-D503.HiSeq4000.bam,9818449,1038877060,9742792,1032832545,258701,27932167,4177,0.3227601703125
SLX-11868.D708-D501.HiSeq4000.bam,23069398,3167786948,22373977,3085254781,3346142,468722709,11750,0.9641421190625
SLX-10575.iPCRtagT041.HiSeq2500.bam,11769052,1291716583,11644924,1281483031,85417,9603659,1999,0.4004634471875
SLX-10572.D704-D505.HiSeq2500.bam,11285153,1171797524,11168662,1163603351,212686,23599888,54461,0.3636260471875
SLX-11034.A004.HiSeq2500.bam,12875578,1359020458,12798610,1350299945,92427,9865331,19956,0.4219687328125
SLX-12838.D705-D507.HiSeq4000.bam,10997625,1511097607,10968126,1508066033,1344297,189775477,890,0.4712706353125
SLX-12832.D710-D502.HiSeq4000.bam,36721767,5111353931,36412935,5073633973,6119060,869740858,2010,1.5855106165625
SLX-10572.D707-D501.HiSeq2500.bam,627250,76223142,620145,75618662,1012,124881,11,0.023630831875
SLX-11870.D712-D501.HiSeq4000.bam,20360612,2947190057,20295644,2939580723,4300668,627406014,121,0.9186189759375
SLX-12838.D703-D503.HiSeq4000.bam,43931228,6107964161,43615478,6070648096,6355260,924183961,1124,1.89707753
