"Read1","Read2","UmiRead","SampleName","ReadGroup","Library","SourceMaterial","PlatformUnit","SequencingPlatform","PlatformModel","SequencingCentre","SequencingDate","SLXId","Barcode","Flowcell","Lane","EndType","ReadLength","Index Type"
"SLX-11868.D710_D507.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D710_D507.H5WNTBBXX.s_8.r_2.fq.gz","","GB4_plasma_A","","SLX-11868.D710-D507","SLX-11868.D710-D507","H5WNTBBXX.8.D710-D507","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D710-D507","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D707_D504.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D707_D504.H5WNTBBXX.s_8.r_2.fq.gz","","GB5_CSF","","SLX-11868.D707-D504","SLX-11868.D707-D504","H5WNTBBXX.8.D707-D504","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D707-D504","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D710_D506.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D710_D506.H5WNTBBXX.s_8.r_2.fq.gz","","GB3_plasma_A","","SLX-11868.D710-D506","SLX-11868.D710-D506","H5WNTBBXX.8.D710-D506","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D710-D506","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D707_D503.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D707_D503.H5WNTBBXX.s_8.r_2.fq.gz","","GB4_CSF","","SLX-11868.D707-D503","SLX-11868.D707-D503","H5WNTBBXX.8.D707-D503","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D707-D503","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D707_D502.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D707_D502.H5WNTBBXX.s_8.r_2.fq.gz","","GB3_CSF","","SLX-11868.D707-D502","SLX-11868.D707-D502","H5WNTBBXX.8.D707-D502","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D707-D502","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D710_D505.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D710_D505.H5WNTBBXX.s_8.r_2.fq.gz","","GB2_plasma_A","","SLX-11868.D710-D505","SLX-11868.D710-D505","H5WNTBBXX.8.D710-D505","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D710-D505","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D712_D508.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D712_D508.H5WNTBBXX.s_8.r_2.fq.gz","","GB13_plasma_A","","SLX-11868.D712-D508","SLX-11868.D712-D508","H5WNTBBXX.8.D712-D508","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D712-D508","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D707_D501.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D707_D501.H5WNTBBXX.s_8.r_2.fq.gz","","GB2_CSF","","SLX-11868.D707-D501","SLX-11868.D707-D501","H5WNTBBXX.8.D707-D501","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D707-D501","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D709_D504.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D709_D504.H5WNTBBXX.s_8.r_2.fq.gz","","GB13_CSF","","SLX-11868.D709-D504","SLX-11868.D709-D504","H5WNTBBXX.8.D709-D504","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D709-D504","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D712_D507.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D712_D507.H5WNTBBXX.s_8.r_2.fq.gz","","GB12_plasma_A","","SLX-11868.D712-D507","SLX-11868.D712-D507","H5WNTBBXX.8.D712-D507","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D712-D507","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D712_D506.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D712_D506.H5WNTBBXX.s_8.r_2.fq.gz","","GB11_plasma_A","","SLX-11868.D712-D506","SLX-11868.D712-D506","H5WNTBBXX.8.D712-D506","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D712-D506","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D709_D503.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D709_D503.H5WNTBBXX.s_8.r_2.fq.gz","","GB12_CSF","","SLX-11868.D709-D503","SLX-11868.D709-D503","H5WNTBBXX.8.D709-D503","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D709-D503","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D712_D505.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D712_D505.H5WNTBBXX.s_8.r_2.fq.gz","","GB10_plasma_A","","SLX-11868.D712-D505","SLX-11868.D712-D505","H5WNTBBXX.8.D712-D505","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D712-D505","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D709_D502.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D709_D502.H5WNTBBXX.s_8.r_2.fq.gz","","GB11_CSF","","SLX-11868.D709-D502","SLX-11868.D709-D502","H5WNTBBXX.8.D709-D502","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D709-D502","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D709_D501.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D709_D501.H5WNTBBXX.s_8.r_2.fq.gz","","GB10_CSF","","SLX-11868.D709-D501","SLX-11868.D709-D501","H5WNTBBXX.8.D709-D501","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D709-D501","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D711_D508.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D711_D508.H5WNTBBXX.s_8.r_2.fq.gz","","GB9_plasma_A","","SLX-11868.D711-D508","SLX-11868.D711-D508","H5WNTBBXX.8.D711-D508","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D711-D508","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D708_D504.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D708_D504.H5WNTBBXX.s_8.r_2.fq.gz","","GB9_CSF","","SLX-11868.D708-D504","SLX-11868.D708-D504","H5WNTBBXX.8.D708-D504","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D708-D504","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
"SLX-11868.D711_D507.H5WNTBBXX.s_8.r_1.fq.gz","SLX-11868.D711_D507.H5WNTBBXX.s_8.r_2.fq.gz","","GB8_plasma_A","","SLX-11868.D711-D507","SLX-11868.D711-D507","H5WNTBBXX.8.D711-D507","ILLUMINA","HiSeq 4000","CRUK-CI","2016-05-03","SLX-11868","D711-D507","H5WNTBBXX",8,"Paired End",150,"Truseq HT"
