Read1,Read2,UmiRead,SampleName,ReadGroup,Library,SourceMaterial,PlatformUnit,SequencingPlatform,PlatformModel,SequencingCentre,SequencingDate,SLXId,Barcode,Flowcell,Lane,EndType,ReadLength,Index Type,Library Type
SLX-11868.D710_D507.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D710_D507.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB4_plasma_A,NA,SLX-11868.D710-D507,SLX-11868.D710-D507,H5WNTBBXX.8.D710-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D710-D507,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D707_D504.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D707_D504.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB5_CSF,NA,SLX-11868.D707-D504,SLX-11868.D707-D504,H5WNTBBXX.8.D707-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D707-D504,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D710_D506.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D710_D506.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB3_plasma_A,NA,SLX-11868.D710-D506,SLX-11868.D710-D506,H5WNTBBXX.8.D710-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D710-D506,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D707_D503.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D707_D503.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB4_CSF,NA,SLX-11868.D707-D503,SLX-11868.D707-D503,H5WNTBBXX.8.D707-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D707-D503,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D707_D502.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D707_D502.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB3_CSF,NA,SLX-11868.D707-D502,SLX-11868.D707-D502,H5WNTBBXX.8.D707-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D707-D502,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D710_D505.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D710_D505.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB2_plasma_A,NA,SLX-11868.D710-D505,SLX-11868.D710-D505,H5WNTBBXX.8.D710-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D710-D505,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D712_D508.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D712_D508.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB13_plasma_A,NA,SLX-11868.D712-D508,SLX-11868.D712-D508,H5WNTBBXX.8.D712-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D712-D508,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D707_D501.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D707_D501.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB2_CSF,NA,SLX-11868.D707-D501,SLX-11868.D707-D501,H5WNTBBXX.8.D707-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D707-D501,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D709_D504.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D709_D504.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB13_CSF,NA,SLX-11868.D709-D504,SLX-11868.D709-D504,H5WNTBBXX.8.D709-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D709-D504,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
SLX-11868.D712_D507.H5WNTBBXX.s_8.r_1.fq.gz,SLX-11868.D712_D507.H5WNTBBXX.s_8.r_2.fq.gz,NA,GB12_plasma_A,NA,SLX-11868.D712-D507,SLX-11868.D712-D507,H5WNTBBXX.8.D712-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-05-03,SLX-11868,D712-D507,H5WNTBBXX,8,Paired End,150,Truseq HT,NA
