Read1,Read2,UmiRead,SampleName,ReadGroup,Library,SourceMaterial,PlatformUnit,SequencingPlatform,PlatformModel,SequencingCentre,SequencingDate,SLXId,Barcode,Flowcell,Lane,EndType,ReadLength,Library Type,Index Type
SLX-11043.D706_D507.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D507.H5VHJBBXX.s_2.r_2.fq.gz,,PPC3_B2,,SLX-11043.D706-D507,SLX-11043.D706-D507,H5VHJBBXX.2.D706-D507,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D706-D507,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-12832.D711_D505.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D505.HFNWFBBXX.s_7.r_2.fq.gz,,DK37,,SLX-12832.D711-D505,SLX-12832.D711-D505,HFNWFBBXX.7.D711-D505,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D711-D505,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-11043.D706_D508.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D508.H5VHJBBXX.s_2.r_2.fq.gz,,PPC3_B9,,SLX-11043.D706-D508,SLX-11043.D706-D508,H5VHJBBXX.2.D706-D508,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D706-D508,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-12832.D711_D506.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D506.HFNWFBBXX.s_7.r_2.fq.gz,,DK38,,SLX-12832.D711-D506,SLX-12832.D711-D506,HFNWFBBXX.7.D711-D506,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D711-D506,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-11042.D701_D505.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D505.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20006_C1D1,,SLX-11042.D701-D505,SLX-11042.D701-D505,H5WNTBBXX.5.D701-D505,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D701-D505,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-12832.D711_D507.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D507.HFNWFBBXX.s_7.r_2.fq.gz,,DK39,,SLX-12832.D711-D507,SLX-12832.D711-D507,HFNWFBBXX.7.D711-D507,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D711-D507,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-11042.D701_D506.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D506.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20006_EOS,,SLX-11042.D701-D506,SLX-11042.D701-D506,H5WNTBBXX.5.D701-D506,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D701-D506,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11043.D706_D505.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D505.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_005_20002_28FU,,SLX-11043.D706-D505,SLX-11043.D706-D505,H5VHJBBXX.2.D706-D505,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D706-D505,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D706_D506.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D706_D506.H5VHJBBXX.s_2.r_2.fq.gz,,PPC3_a,,SLX-11043.D706-D506,SLX-11043.D706-D506,H5VHJBBXX.2.D706-D506,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D706-D506,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11042.D701_D507.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D507.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20008_C1D1,,SLX-11042.D701-D507,SLX-11042.D701-D507,H5WNTBBXX.5.D701-D507,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D701-D507,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D701_D508.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D701_D508.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20008_C3D1,,SLX-11042.D701-D508,SLX-11042.D701-D508,H5WNTBBXX.5.D701-D508,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D701-D508,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D702_D505.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D505.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20008_EOS,,SLX-11042.D702-D505,SLX-11042.D702-D505,H5WNTBBXX.5.D702-D505,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D702-D505,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D702_D506.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D506.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20011_C1D1,,SLX-11042.D702-D506,SLX-11042.D702-D506,H5WNTBBXX.5.D702-D506,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D702-D506,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-12832.D709_D502.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D709_D502.HFNWFBBXX.s_7.r_2.fq.gz,,DK30,,SLX-12832.D709-D502,SLX-12832.D709-D502,HFNWFBBXX.7.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D709-D502,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D709_D503.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D709_D503.HFNWFBBXX.s_7.r_2.fq.gz,,DK31,,SLX-12832.D709-D503,SLX-12832.D709-D503,HFNWFBBXX.7.D709-D503,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D709-D503,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D709_D504.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D709_D504.HFNWFBBXX.s_7.r_2.fq.gz,,DK32,,SLX-12832.D709-D504,SLX-12832.D709-D504,HFNWFBBXX.7.D709-D504,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D709-D504,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D710_D501.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D501.HFNWFBBXX.s_7.r_2.fq.gz,,DK33,,SLX-12832.D710-D501,SLX-12832.D710-D501,HFNWFBBXX.7.D710-D501,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D710-D501,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D710_D502.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D502.HFNWFBBXX.s_7.r_2.fq.gz,,DK34,,SLX-12832.D710-D502,SLX-12832.D710-D502,HFNWFBBXX.7.D710-D502,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D710-D502,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D710_D503.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D503.HFNWFBBXX.s_7.r_2.fq.gz,,DK35,,SLX-12832.D710-D503,SLX-12832.D710-D503,HFNWFBBXX.7.D710-D503,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D710-D503,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D710_D504.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D710_D504.HFNWFBBXX.s_7.r_2.fq.gz,,DK36,,SLX-12832.D710-D504,SLX-12832.D710-D504,HFNWFBBXX.7.D710-D504,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D710-D504,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-11042.D703_D506.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D506.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20016_C1D1,,SLX-11042.D703-D506,SLX-11042.D703-D506,H5WNTBBXX.5.D703-D506,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D703-D506,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-12832.D701_D504.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D504.HFNWFBBXX.s_7.r_2.fq.gz,,S2_686_ds,,SLX-12832.D701-D504,SLX-12832.D701-D504,HFNWFBBXX.7.D701-D504,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D701-D504,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-11042.D703_D507.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D507.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20016_C5D1,,SLX-11042.D703-D507,SLX-11042.D703-D507,H5WNTBBXX.5.D703-D507,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D703-D507,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-12832.D701_D505.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D505.HFNWFBBXX.s_7.r_2.fq.gz,,S2_687_ds,,SLX-12832.D701-D505,SLX-12832.D701-D505,HFNWFBBXX.7.D701-D505,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D701-D505,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-11042.D703_D508.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D508.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_004_20002_C1D1,,SLX-11042.D703-D508,SLX-11042.D703-D508,H5WNTBBXX.5.D703-D508,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D703-D508,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D704_D501.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D501.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_004_20002_EOS,,SLX-11042.D704-D501,SLX-11042.D704-D501,H5WNTBBXX.5.D704-D501,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D704-D501,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D702_D507.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D507.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20011_C7D1,,SLX-11042.D702-D507,SLX-11042.D702-D507,H5WNTBBXX.5.D702-D507,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D702-D507,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D702_D508.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D702_D508.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20013_C1D1,,SLX-11042.D702-D508,SLX-11042.D702-D508,H5WNTBBXX.5.D702-D508,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D702-D508,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D703_D505.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D703_D505.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_005_20013_C3D1,,SLX-11042.D703-D505,SLX-11042.D703-D505,H5WNTBBXX.5.D703-D505,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D703-D505,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D704_D502.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D502.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_004_20009_C1D1,,SLX-11042.D704-D502,SLX-11042.D704-D502,H5WNTBBXX.5.D704-D502,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D704-D502,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D704_D503.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D503.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_004_20009_28FU,,SLX-11042.D704-D503,SLX-11042.D704-D503,H5WNTBBXX.5.D704-D503,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D704-D503,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-11042.D704_D504.H5WNTBBXX.s_5.r_1.fq.gz,SLX-11042.D704_D504.H5WNTBBXX.s_5.r_2.fq.gz,,RAD_004_20005_C1D1,,SLX-11042.D704-D504,SLX-11042.D704-D504,H5WNTBBXX.5.D704-D504,ILLUMINA,HiSeq 4000,CRUK-CI,03/05/2016,SLX-11042,D704-D504,H5WNTBBXX,5,Paired End,150,DNASeq,Truseq HT
SLX-12832.D711_D508.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D711_D508.HFNWFBBXX.s_7.r_2.fq.gz,,DK40,,SLX-12832.D711-D508,SLX-12832.D711-D508,HFNWFBBXX.7.D711-D508,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D711-D508,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D712_D505.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D505.HFNWFBBXX.s_7.r_2.fq.gz,,DK41,,SLX-12832.D712-D505,SLX-12832.D712-D505,HFNWFBBXX.7.D712-D505,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D712-D505,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D712_D506.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D506.HFNWFBBXX.s_7.r_2.fq.gz,,DK42,,SLX-12832.D712-D506,SLX-12832.D712-D506,HFNWFBBXX.7.D712-D506,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D712-D506,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D712_D507.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D507.HFNWFBBXX.s_7.r_2.fq.gz,,DK43,,SLX-12832.D712-D507,SLX-12832.D712-D507,HFNWFBBXX.7.D712-D507,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D712-D507,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D712_D508.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D712_D508.HFNWFBBXX.s_7.r_2.fq.gz,,DK44,,SLX-12832.D712-D508,SLX-12832.D712-D508,HFNWFBBXX.7.D712-D508,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D712-D508,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D701_D501.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D501.HFNWFBBXX.s_7.r_2.fq.gz,,htc293ds,,SLX-12832.D701-D501,SLX-12832.D701-D501,HFNWFBBXX.7.D701-D501,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D701-D501,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D701_D502.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D502.HFNWFBBXX.s_7.r_2.fq.gz,,rat04ds,,SLX-12832.D701-D502,SLX-12832.D701-D502,HFNWFBBXX.7.D701-D502,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D701-D502,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12832.D701_D503.HFNWFBBXX.s_7.r_1.fq.gz,SLX-12832.D701_D503.HFNWFBBXX.s_7.r_2.fq.gz,,A11_15gy_24h_ds,,SLX-12832.D701-D503,SLX-12832.D701-D503,HFNWFBBXX.7.D701-D503,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12832,D701-D503,HFNWFBBXX,7,Paired End,150,DNASeq,Truseq HT
SLX-12838.D703_D502.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D703_D502.HFKF7BBXX.s_8.r_2.fq.gz,,DK54,,SLX-12838.D703-D502,SLX-12838.D703-D502,HFKF7BBXX.8.D703-D502,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D703-D502,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D701_D505.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D701_D505.HFKF7BBXX.s_8.r_2.fq.gz,,DK45,,SLX-12838.D701-D505,SLX-12838.D701-D505,HFKF7BBXX.8.D701-D505,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D701-D505,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D701_D506.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D701_D506.HFKF7BBXX.s_8.r_2.fq.gz,,DK46,,SLX-12838.D701-D506,SLX-12838.D701-D506,HFKF7BBXX.8.D701-D506,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D701-D506,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D701_D507.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D701_D507.HFKF7BBXX.s_8.r_2.fq.gz,,DK47,,SLX-12838.D701-D507,SLX-12838.D701-D507,HFKF7BBXX.8.D701-D507,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D701-D507,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D701_D508.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D701_D508.HFKF7BBXX.s_8.r_2.fq.gz,,DK48,,SLX-12838.D701-D508,SLX-12838.D701-D508,HFKF7BBXX.8.D701-D508,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D701-D508,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D702_D505.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D702_D505.HFKF7BBXX.s_8.r_2.fq.gz,,DK49,,SLX-12838.D702-D505,SLX-12838.D702-D505,HFKF7BBXX.8.D702-D505,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D702-D505,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D702_D506.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D702_D506.HFKF7BBXX.s_8.r_2.fq.gz,,DK50,,SLX-12838.D702-D506,SLX-12838.D702-D506,HFKF7BBXX.8.D702-D506,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D702-D506,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D702_D507.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D702_D507.HFKF7BBXX.s_8.r_2.fq.gz,,DK51,,SLX-12838.D702-D507,SLX-12838.D702-D507,HFKF7BBXX.8.D702-D507,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D702-D507,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D702_D508.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D702_D508.HFKF7BBXX.s_8.r_2.fq.gz,,DK52,,SLX-12838.D702-D508,SLX-12838.D702-D508,HFKF7BBXX.8.D702-D508,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D702-D508,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D703_D501.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D703_D501.HFKF7BBXX.s_8.r_2.fq.gz,,DK53,,SLX-12838.D703-D501,SLX-12838.D703-D501,HFKF7BBXX.8.D703-D501,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D703-D501,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-11043.D703_D504.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D703_D504.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_001_20004_C7D1,,SLX-11043.D703-D504,SLX-11043.D703-D504,H5VHJBBXX.2.D703-D504,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D703-D504,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D704_D505.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D704_D505.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_001_20005_C1D1,,SLX-11043.D704-D505,SLX-11043.D704-D505,H5VHJBBXX.2.D704-D505,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D704-D505,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D704_D506.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D704_D506.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_001_20005_C1D22,,SLX-11043.D704-D506,SLX-11043.D704-D506,H5VHJBBXX.2.D704-D506,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D704-D506,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D704_D507.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D704_D507.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_001_20005_EOS,,SLX-11043.D704-D507,SLX-11043.D704-D507,H5VHJBBXX.2.D704-D507,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D704-D507,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D703_D503.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D703_D503.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_001_20004_C1D1,,SLX-11043.D703-D503,SLX-11043.D703-D503,H5VHJBBXX.2.D703-D503,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D703-D503,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D705_D508.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D705_D508.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_005_20002_C1D1,,SLX-11043.D705-D508,SLX-11043.D705-D508,H5VHJBBXX.2.D705-D508,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D705-D508,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D704_D508.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D704_D508.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_003_20002_C1D1,,SLX-11043.D704-D508,SLX-11043.D704-D508,H5VHJBBXX.2.D704-D508,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D704-D508,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D705_D505.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D705_D505.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_003_20002_C7D1,,SLX-11043.D705-D505,SLX-11043.D705-D505,H5VHJBBXX.2.D705-D505,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D705-D505,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D705_D506.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D705_D506.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_004_20011_C1D1,,SLX-11043.D705-D506,SLX-11043.D705-D506,H5VHJBBXX.2.D705-D506,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D705-D506,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-11043.D705_D507.H5VHJBBXX.s_2.r_1.fq.gz,SLX-11043.D705_D507.H5VHJBBXX.s_2.r_2.fq.gz,,RAD_004_20011_C6D1,,SLX-11043.D705-D507,SLX-11043.D705-D507,H5VHJBBXX.2.D705-D507,ILLUMINA,HiSeq 4000,CRUK-CI,18/04/2016,SLX-11043,D705-D507,H5VHJBBXX,2,Paired End,150,DNASeq,Truseq HT
SLX-12838.D703_D503.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D703_D503.HFKF7BBXX.s_8.r_2.fq.gz,,DK55,,SLX-12838.D703-D503,SLX-12838.D703-D503,HFKF7BBXX.8.D703-D503,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D703-D503,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D703_D504.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D703_D504.HFKF7BBXX.s_8.r_2.fq.gz,,DK56,,SLX-12838.D703-D504,SLX-12838.D703-D504,HFKF7BBXX.8.D703-D504,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D703-D504,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D704_D501.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D704_D501.HFKF7BBXX.s_8.r_2.fq.gz,,DK57,,SLX-12838.D704-D501,SLX-12838.D704-D501,HFKF7BBXX.8.D704-D501,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D704-D501,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12838.D704_D502.HFKF7BBXX.s_8.r_1.fq.gz,SLX-12838.D704_D502.HFKF7BBXX.s_8.r_2.fq.gz,,DK58,,SLX-12838.D704-D502,SLX-12838.D704-D502,HFKF7BBXX.8.D704-D502,ILLUMINA,HiSeq 4000,CRUK-CI,13/10/2016,SLX-12838,D704-D502,HFKF7BBXX,8,Paired End,150,DNASeq,Truseq HT
