repeat,fold,test_auroc,test_auprc,test_acc,test_ppv,test_sensitivity,test_specificity,test_f1,test_sen_99spe,test_threshold_99spe,test_ppv_threshold_99spe,test_acc_99spe,test_f1_99spe,test_sen_98spe,test_threshold_98spe,test_ppv_threshold_98spe,test_acc_98spe,test_f1_98spe,test_sen_95spe,test_threshold_95spe,test_ppv_threshold_95spe,test_acc_95spe,test_f1_95spe
1,1,0.9952153110047847,0.9873684210526312,0.9647058823529412,1.0,0.8421052631578947,1.0,0.9142857142857143,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.9473684210526315,0.004358844,0.782608695652174,0.9126993620414672,0.8571428571428571
1,2,0.9953358208955224,0.9851190476190477,0.9759036144578314,1.0,0.875,1.0,0.9333333333333333,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.9375,0.016699418,0.7894736842105263,0.9153917910447762,0.8571428571428571
1,3,1.0,1.0,0.9761904761904762,1.0,0.8888888888888888,1.0,0.9411764705882353,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,1,0.9957912457912458,0.9879227053140098,0.9761904761904762,1.0,0.8888888888888888,1.0,0.9411764705882353,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.9444444444444444,0.016232817,0.8095238095238095,0.9184343434343434,0.8717948717948718
2,2,1.0,1.0,0.9879518072289156,1.0,0.9444444444444444,1.0,0.9714285714285714,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,4,1.0,1.0,0.9761904761904762,1.0,0.8823529411764706,1.0,0.9375,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,5,0.9991452991452991,0.9970760233918129,0.963855421686747,1.0,0.8333333333333334,1.0,0.9090909090909091,0.9444444444444444,0.04865137,1.0,0.9672222222222222,0.9714285714285714,0.9444444444444444,0.04865137,1.0,0.9622222222222222,0.9714285714285714,0.9444444444444444,0.04865137,1.0,0.9472222222222222,0.9714285714285714
3,1,1.0,1.0,0.9761904761904762,1.0,0.8888888888888888,1.0,0.9411764705882353,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
3,2,0.9948717948717949,0.9861111111111112,0.9879518072289156,1.0,0.9444444444444444,1.0,0.9714285714285714,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.9444444444444444,0.016008869,0.7727272727272727,0.9106837606837607,0.85
3,3,1.0,1.0,0.9759036144578314,1.0,0.8888888888888888,1.0,0.9411764705882353,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
