repeat,fold,test_auroc,test_auprc,test_acc,test_ppv,test_sensitivity,test_specificity,test_f1,test_sen_99spe,test_threshold_99spe,test_ppv_threshold_99spe,test_acc_99spe,test_f1_99spe,test_sen_98spe,test_threshold_98spe,test_ppv_threshold_98spe,test_acc_98spe,test_f1_98spe,test_sen_95spe,test_threshold_95spe,test_ppv_threshold_95spe,test_acc_95spe,test_f1_95spe
1,1,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
1,2,1.0,1.0000000000000002,0.9883720930232558,1.0,0.95,1.0,0.9743589743589743,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
1,3,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,1,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,2,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,3,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,4,1.0,1.0,0.9883720930232558,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
3,1,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
3,2,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
3,3,1.0,1.0000000000000004,0.9885057471264368,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
3,5,1.0,1.0,0.9883720930232558,0.9523809523809523,1.0,0.9848484848484849,0.975609756097561,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
4,2,1.0,1.0000000000000002,0.9883720930232558,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
4,3,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
4,4,1.0,1.0000000000000002,0.9651162790697675,1.0,0.85,1.0,0.918918918918919,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
4,5,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
5,2,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
5,3,1.0,0.9999999999999998,0.9770114942528736,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
5,4,1.0,1.0,0.9883720930232558,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
6,1,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
6,2,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
6,4,1.0,1.0,0.9883720930232558,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
6,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
7,1,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
7,2,1.0,1.0,0.9883720930232558,1.0,0.95,1.0,0.9743589743589743,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
7,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
7,5,1.0,1.0000000000000004,0.9770114942528736,1.0,0.9047619047619048,1.0,0.95,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
8,1,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
8,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
8,3,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
8,4,1.0,1.0,0.9885057471264368,1.0,0.95,1.0,0.9743589743589743,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
8,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
9,1,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
9,3,1.0,1.0000000000000002,0.9770114942528736,1.0,0.9,1.0,0.9473684210526315,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
9,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
9,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
10,1,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.0,inf,0.0,0.475,0.0
