TN,FP,FN,TP
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLBR82,X129,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLBR82,X129
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
CGPLH78,MBC_1139,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,CGPLH78,MBC_1139
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
HIP_33,MBC_1187,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,HIP_33,MBC_1187
MBC_1126,GB25,MBC_1126,GB25
MBC_1126,GB25,MBC_1126,GB25
MBC_1126,GB25,MBC_1126,GB25
MBC_1126,GB25,MBC_1126,GB25
MBC_1126,GB25,MBC_1126,GB25
MBC_1126,GB25,MBC_1126,GB25
MBC_1126,GB25,MBC_1126,GB25
MBC_1126,GB25,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLH465,MBC_1071,MBC_1126,GB25
CGPLPA156,MBC_1417,MBC_1126,GB25
